id,comment_text,Profanity-check Model,Profanity-Filter Model,Grawlox Library,Grawlox with spell check,,
002,1. Simple cuss words:-,,,,,,
003,Fuck,TRUE,TRUE,TRUE,TRUE,,Table
004,Hell,TRUE,TRUE,TRUE,TRUE,,
005,Kill,TRUE,TRUE,TRUE,TRUE,,
006,Jerk,TRUE,TRUE,TRUE,TRUE,,
007,Shit,TRUE,TRUE,TRUE,TRUE,,
008,wth,,FALSE,TRUE,TRUE,,
009,stupid,,FALSE,TRUE,TRUE,,
010,bitch,,TRUE,TRUE,TRUE,,
011,piss,,TRUE,TRUE,TRUE,,
012,asshole,,TRUE,TRUE,TRUE,,
013,damn,,TRUE,TRUE,TRUE,,
014,crap,,TRUE,TRUE,TRUE,,
015,holycow,,FALSE,TRUE,TRUE,,
016,Fuckcycle ,,FALSE,TRUE,TRUE,,
017,Wankhammer ,,FALSE,TRUE,TRUE,,
018,Douchenozzle,,FALSE,TRUE,TRUE,,
019,Arsebasket,,FALSE,TRUE,TRUE,,
020,Ass,,TRUE,TRUE,TRUE,,
021,bloody,,FALSE,TRUE,TRUE,,
022,bastard,,TRUE,TRUE,TRUE,,
023,slut,,TRUE,TRUE,TRUE,,
024,bugger,,FALSE,TRUE,TRUE,,
025,cunt,,FALSE,TRUE,TRUE,,
026,scumbag,,FALSE,TRUE,TRUE,,
027,idiot,,FALSE,TRUE,TRUE,,
028,mental,,TRUE,TRUE,TRUE,,
029,motherfucker,,TRUE,TRUE,TRUE,,
030,retarded,,TRUE,TRUE,TRUE,,
031,screw,,TRUE,TRUE,TRUE,,
032,son of a bitch,,TRUE,TRUE,TRUE,,
033,Gimme a F!,,FALSE,TRUE,TRUE,,
034,Bugger off,,FALSE,TRUE,TRUE,,
035,Dork,,FALSE,TRUE,TRUE,,
036,Fuckface,,FALSE,TRUE,TRUE,,
037,black cock,,TRUE,TRUE,TRUE,,
038,bloody hell,,TRUE,TRUE,TRUE,,
039,boong,,TRUE,TRUE,TRUE,,
040,cock,,FALSE,TRUE,TRUE,,
041,cockfucker,,FALSE,TRUE,TRUE,,
042,cocksuck,,TRUE,TRUE,TRUE,,
043,cocksucker,,FALSE,TRUE,TRUE,,
044,coon,,FALSE,TRUE,TRUE,,
045,coonnass,,FALSE,TRUE,TRUE,,
046,cyberfuck,,FALSE,TRUE,TRUE,,
047,darn,,FALSE,TRUE,TRUE,,
048,dick,,TRUE,TRUE,TRUE,,
049,dirty,,FALSE,TRUE,TRUE,,
050,douche,,FALSE,TRUE,TRUE,,
051,dummy,,FALSE,TRUE,TRUE,,
052,erect,,FALSE,TRUE,TRUE,,
053,erection,,FALSE,TRUE,TRUE,,
054,erotic,,FALSE,TRUE,TRUE,,
055,escort,,FALSE,TRUE,TRUE,,
056,fag,,TRUE,TRUE,TRUE,,
057,faggot,,TRUE,TRUE,TRUE,,
058,fuck,,TRUE,TRUE,TRUE,,
059,Fuck off,,TRUE,TRUE,TRUE,,
060,fuck you,,TRUE,TRUE,TRUE,,
061,fuckass,,TRUE,TRUE,TRUE,,
062,fuckhole,,TRUE,TRUE,TRUE,,
063,god damn,,TRUE,TRUE,TRUE,,
064,gook,,TRUE,TRUE,TRUE,,
065,hard core,,TRUE,TRUE,TRUE,,
066,hardcore,,TRUE,TRUE,TRUE,,
067,homoerotic,,TRUE,TRUE,TRUE,,
068,hore,,TRUE,TRUE,TRUE,,
069,lesbian,,TRUE,TRUE,TRUE,,
070,lesbians,,TRUE,TRUE,TRUE,,
071,mother fucker,,TRUE,TRUE,TRUE,,
072,motherfuck,,TRUE,TRUE,TRUE,,
073,negro,,TRUE,TRUE,TRUE,,
074,nigger,,TRUE,TRUE,TRUE,,
075,orgasim,,TRUE,TRUE,TRUE,,
076,orgasm,,TRUE,TRUE,TRUE,,
077,penis,,TRUE,TRUE,TRUE,,
078,penisfucker,,TRUE,TRUE,TRUE,,
079,piss off,,TRUE,TRUE,TRUE,,
080,porn,,TRUE,TRUE,TRUE,,
081,porno,,TRUE,TRUE,TRUE,,
082,pornography,,TRUE,TRUE,TRUE,,
083,pussy,,TRUE,TRUE,TRUE,,
084,retard,,TRUE,TRUE,TRUE,,
085,sadist,,TRUE,TRUE,TRUE,,
086,sex,,TRUE,TRUE,TRUE,,
087,sexy,,TRUE,TRUE,TRUE,,
088,shit,,TRUE,TRUE,TRUE,,
089,suck,,TRUE,TRUE,TRUE,,
090,tits,,TRUE,TRUE,TRUE,,
091,viagra,,TRUE,TRUE,TRUE,,
092,whore,,TRUE,TRUE,TRUE,,
093,xxx,,TRUE,TRUE,TRUE,,
094,,,TRUE,TRUE,TRUE,,
095,,,,,,,
096,,,,,,,
097,,,,,,,
098,,,,,,,
099,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,2. Cuss words in sentences:-,,,,,,
104,"Who the fuck are you, do not mess with me.",TRUE,TRUE,TRUE,TRUE,,
105," You are a complete jerk, u do not understand anything so please fuck off.",TRUE,TRUE,TRUE,TRUE,,
106,"I just want to know about my hotel details, if you cannot help me than fuckoff.",FALSE,FALSE,TRUE,TRUE,,
107,"May you rot in hell if you cannot honor my booking, i have nowhere else to go.",TRUE,TRUE,TRUE,TRUE,,
108,you crappy peice of SH!T,,,,,,
109,,,,,,,
110,3. Positive words and Sentences,,,,,,
111,Bass,FALSE,FALSE,TRUE,TRUE,,
112,Do not speak ill to me.,FALSE,FALSE,TRUE,TRUE,,
113,Please leave from here you are making me angry.,FALSE,FALSE,FALSE,FALSE,,
114,Bullspit,FALSE,FALSE,FALSE,TRUE,,
115,What the cuss ,FALSE,FALSE,FALSE,FALSE,,
116,Holy cow,FALSE,FALSE,FALSE,FALSE,,
117,"Oh snap, why do not i get it earlier.",FALSE,FALSE,FALSE,FALSE,,
118,4. Spelling Mistake,,,,,,
119,Fck,FALSE,FALSE,FALSE,TRUE,,
120,Fuuuccckkk,FALSE,FALSE,FALSE,FALSE,,
121,"Shiit, i am late for checkin. Can u allow me to enter now.",FALSE,FALSE,FALSE,TRUE,,
122,"Hellll no, i wonâ€™t be taking any bulllsht from you.",FALSE,FALSE,TRUE,TRUE,,
123,I am gonna Kiill you if my issue is not resolved.,FALSE,FALSE,FALSE,TRUE,,
124,5. Cuss words with numbers and special characters,,,,,,
125,K1ll,FALSE,FALSE,TRUE,TRUE,,
126,K111ll,FALSE,FALSE,FALSE,FALSE,,
127,@ss,FALSE,FALSE,TRUE,TRUE,,
128,@$$,FALSE,TRUE,TRUE,TRUE,,
129,You need @&s beating. ,FALSE,FALSE,TRUE,TRUE,,
130,You are full of $h11t.,FALSE,FALSE,TRUE,TRUE,,
131,F-u-c-k,FALSE,FALSE,FALSE,TRUE,,
132, S_h-Itt,FALSE,FALSE,TRUE,TRUE,,
133,A S S,FALSE,FALSE,TRUE,TRUE,,
134,5hit,,,TRUE,TRUE,,
135,b17ch,,,TRUE,TRUE,,
136,j3rk0ff,,,TRUE,TRUE,,
137,l3i+ch,,,TRUE,TRUE,,
138,6. Combined words,,,,,,
139,Bullshit!,TRUE,TRUE,TRUE,TRUE,,
140,How the bloodyhell did you hear that? ,FALSE,FALSE,TRUE,TRUE,,
141,You are a a pieceofshitt.,FALSE,FALSE,TRUE,TRUE,,
142,godamnit,,,,,,
143,7. Sentences with positivity and negativity,,,,,,
144,"Can you please help me here, jerk. .",TRUE,TRUE,TRUE,TRUE,,
145,Shit i am so sorry for the trouble,TRUE,TRUE,TRUE,TRUE,,
146,My ass is hurting sitting here all day.,TRUE,TRUE,TRUE,TRUE,,
147,I would politely ask you to fuck off sir.,TRUE,TRUE,TRUE,TRUE,,
148,8. Miscellaneous,,,,,,
149,Kill your cow for beef ,TRUE,TRUE,TRUE,TRUE,,
150,i will slaughter cows in front of your hotel,,,TRUE,TRUE,,
151,Go back to pakistan,FALSE,FALSE,FALSE,FALSE,,
152,"Hi. We did not receive any response from your end, we will proceed to close this chat for time being. Kindly reach out to us back if your query remain unresolved.Thank you for contacting OYO. Stay safe!",FALSE,FALSE,FALSE,FALSE,,
153,"I want to bring in my dog please allow him, he is a very sweet dog, it barks sometime when scared but will not harm anyone. He gets scared when left alone.",FALSE,FALSE,FALSE,FALSE,,
154,i want a cot for my new born baby can u provide that,FALSE,FALSE,FALSE,FALSE,,
155,YQZN3125 THIS BOOKING ALREADY ENTERTAINED WHY HOTEL HAVE TO COLLECT MONEY GUEST ALREADY PAY IT AND CAN'T CHECK-IN,FALSE,FALSE,FALSE,FALSE,,
156,"hi team please check for us guest already check in 6/10-9/10/2021, guest claim they already paid by system still under collect payment.",FALSE,FALSE,FALSE,FALSE,,
157,Okay. This means that call was fake. Thank you .,FALSE,FALSE,FALSE,FALSE,,
158,Not able to complete listing process. Please call back to help me complete the listing with oyo,FALSE,FALSE,FALSE,FALSE,,
159,"Good afternoon, to be informed due to water supply issue from SYABAS on 13/10 we need to block TWO level at our hotel.The room is 301, 302, 303, 304, 305, 306, 307, 308, 401, 402, 403, 404, 405, 406, 407, 408we need to block for TWO weeks until end of October due to water supply issue and also maintenance work.Why no one reply my message here.I can see Oyo staff name Mohamad is active but he never respond",FALSE,FALSE,FALSE,FALSE,,
160,"hello booking number xhnj388 collect payment option is still available eventhought the customer already pay all of it and we also didnt receive any email for the booking.Booking ID XHNJ3888 (AHMAD FARHAN NAIM) This guest already c.out. We follow booking on OYO OS, it's prepaid.",FALSE,FALSE,TRUE,TRUE,,
161,"Jonathan Drinkard (Jonathan Drinkard) Inhouse Bookings / Booking ID VGY75016Booking ID VGY75016please collect payment for this guess payment was with a virtual card. we are not trained for virtual cards payments VGY75016 JONATHAN DRINKARD VIRTUAL CARD. WE DONT HAVE CARD NO. NO INFORMATION. PLEASE COLLECT MONEY FROM BOOKING . COM. Some problem in my system, request u fuck to fix it.",FALSE,TRUE,TRUE,TRUE,,
162,Jonathan Drinkard (Jonathan Drinkard) Inhouse Bookings request u fuck to fix it.,TRUE,TRUE,TRUE,TRUE,,
163,"R1TM8232 I am authorizing a cancellation. The guest wasn't informed by Priceline and Agoda that our location charges a security deposit upon every admission, guest will kill you.",FALSE,FALSE,TRUE,TRUE,,
164,guest will kill you,TRUE,FALSE,TRUE,TRUE,,
165,guest threatened to kill you,FALSE,FALSE,TRUE,TRUE,,
166,I want full refund if I have not even entered in the hotel what is the refund charge for? They did not tell us about the requirement of RT PCR beforehand after later on denied the entry what the fuck is this? ,,,TRUE,TRUE,,
167,How the hell u guys change my booking without my concern,,,TRUE,TRUE,,
168,$H1ft me to a different property,,,FALSE,FALSE,,
169,I need to refckter my booking,,,FALSE,FALSE,,
170,"Plz cancelled my room ,very poor cleaning of room & toilet.",,,FALSE,FALSE,,
171,I will swear you if you don't cancel my booking,,,TRUE,TRUE,,
172,your religion is shit,,,TRUE,TRUE,,